Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
Parameters: vin=0,,,,,,
1,PD_VCO_tb_1,/vout,,,,
1,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.808e9,,,
1,PD_VCO_tb_1,/f_div_out,,,,
1,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",100.2e6,,,
Parameters: vin=100m,,,,,,
2,PD_VCO_tb_1,/vout,,,,
2,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.808e9,,,
2,PD_VCO_tb_1,/f_div_out,,,,
2,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",100.2e6,,,
Parameters: vin=200m,,,,,,
3,PD_VCO_tb_1,/vout,,,,
3,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.808e9,,,
3,PD_VCO_tb_1,/f_div_out,,,,
3,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",100.2e6,,,
Parameters: vin=300m,,,,,,
4,PD_VCO_tb_1,/vout,,,,
4,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.808e9,,,
4,PD_VCO_tb_1,/f_div_out,,,,
4,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",100.2e6,,,
Parameters: vin=400m,,,,,,
5,PD_VCO_tb_1,/vout,,,,
5,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.81e9,,,
5,PD_VCO_tb_1,/f_div_out,,,,
5,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",100.2e6,,,
Parameters: vin=500m,,,,,,
6,PD_VCO_tb_1,/vout,,,,
6,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.819e9,,,
6,PD_VCO_tb_1,/f_div_out,,,,
6,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",100.4e6,,,
Parameters: vin=600m,,,,,,
7,PD_VCO_tb_1,/vout,,,,
7,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.835e9,,,
7,PD_VCO_tb_1,/f_div_out,,,,
7,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",100.7e6,,,
Parameters: vin=700m,,,,,,
8,PD_VCO_tb_1,/vout,,,,
8,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.845e9,,,
8,PD_VCO_tb_1,/f_div_out,,,,
8,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",100.9e6,,,
Parameters: vin=800m,,,,,,
9,PD_VCO_tb_1,/vout,,,,
9,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.849e9,,,
9,PD_VCO_tb_1,/f_div_out,,,,
9,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",101e6,,,
Parameters: vin=900m,,,,,,
10,PD_VCO_tb_1,/vout,,,,
10,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.85e9,,,
10,PD_VCO_tb_1,/f_div_out,,,,
10,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",101e6,,,
Parameters: vin=1,,,,,,
11,PD_VCO_tb_1,/vout,,,,
11,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.851e9,,,
11,PD_VCO_tb_1,/f_div_out,,,,
11,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",101.1e6,,,
Parameters: vin=1.1,,,,,,
12,PD_VCO_tb_1,/vout,,,,
12,PD_VCO_tb_1,"frequency(VT(""/vout""))",4.851e9,,,
12,PD_VCO_tb_1,/f_div_out,,,,
12,PD_VCO_tb_1,"frequency(VT(""/f_div_out""))",101.1e6,,,

